Software_Requirement,Test_Case,Test_Description,Priority,SIL,VER_Verified,Comments
REQ-FUN-013,TC-OSTS-FUNC-038,Departure inhibited for platform-side disabled door,Medium,2,PENDING,
REQ-FUN-013,TC-OSTS-FUNC-039,Disablement event logged with timestamp and authorization source,Medium,2,PENDING,
REQ-FUN-014,TC-OSTS-FUNC-040,DIAGNOSTIC mode entered when speed = 0 AND authorization present,Medium,2,PENDING,
REQ-FUN-014,TC-OSTS-FUNC-041,DIAGNOSTIC mode rejected when speed > 0 km/h,Medium,2,PENDING,
REQ-FUN-014,TC-OSTS-FUNC-042,Safety interlocks verified active in DIAGNOSTIC mode,Medium,2,PENDING,
REQ-FUN-015,TC-OSTS-FUNC-043,FULLY_OPEN state declared when both open-end-stop sensors active,High,3,PENDING,
REQ-FUN-015,TC-OSTS-FUNC-044,FULLY_CLOSED state declared when both closed-end-stop sensors active,High,3,PENDING,
REQ-FUN-015,TC-OSTS-FUNC-045,INTERMEDIATE state declared when neither end-stop met,High,3,PENDING,
REQ-FUN-015,TC-OSTS-FUNC-046,UNKNOWN state declared on sensor A/B disagreement,High,3,PENDING,
REQ-FUN-015,TC-OSTS-FUNC-047,Door not commanded in UNKNOWN state; fault raised,High,3,PENDING,
REQ-FUN-015,TC-OSTS-FUNC-048,State updated every 20 ms cycle (timing verified),High,3,PENDING,
REQ-FUN-016,TC-OSTS-FUNC-049,Door status CAN message (0x201) transmitted every 100 ms ± 10 ms,High,2,PENDING,
REQ-FUN-016,TC-OSTS-FUNC-050,"CAN message content: correct position state, lock state, fault code",High,2,PENDING,
REQ-FUN-016,TC-OSTS-FUNC-051,CRC-16 valid on transmitted door_status_msg_t,High,2,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-052,Position sensor fault detected within 100 ms,Critical,3,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-053,Obstacle sensor fault detected within 100 ms,Critical,3,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-054,Lock mechanism fault detected within 100 ms,Critical,3,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-055,CAN communication fault detected within 200 ms,Critical,3,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-056,Speed sensor timeout fault detected within 200 ms,Critical,3,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-057,Cross-channel disagreement fault detected within 20 ms,Critical,3,PENDING,
REQ-FUN-017,TC-OSTS-FUNC-058,Watchdog failure fault detected within 50 ms,Critical,3,PENDING,
REQ-FUN-018,TC-OSTS-FUNC-059,Event log stores >= 1000 events in circular buffer,High,1,PENDING,
REQ-FUN-018,TC-OSTS-FUNC-060,CRC-16 verified on event log entry retrieval,High,1,PENDING,
REQ-FUN-018,TC-OSTS-FUNC-061,Circular buffer wraps correctly; oldest entries overwritten,High,1,PENDING,
REQ-FUN-018,TC-OSTS-FUNC-062,Event log readable via diagnostics port,Medium,1,PENDING,
REQ-INT-001,TC-OSTS-INT-001,PWM output at 20 kHz confirmed by oscilloscope,High,3,PENDING,
REQ-INT-001,TC-OSTS-INT-002,"Duty cycle accuracy ± 2% (0%, 50%, 100% test points)",High,3,PENDING,
REQ-INT-001,TC-OSTS-INT-003,"Direction GPIO correct for OPEN, CLOSE, STOP commands",High,3,PENDING,
REQ-INT-001,TC-OSTS-INT-004,HAL_PWM error → duty set to 0 → FAULT_MOTOR_CTRL_FAIL → SAFE_STATE,Critical,3,PENDING,
REQ-INT-002,TC-OSTS-INT-005,Both position sensors read independently per 20 ms cycle,High,3,PENDING,
REQ-INT-002,TC-OSTS-INT-006,Interrupt latency ≤ 5 ms for position sensor interrupt,High,3,PENDING,
REQ-INT-003,TC-OSTS-INT-007,Single obstacle sensor (A) trigger → reversal initiated,Critical,3,PENDING,
REQ-INT-003,TC-OSTS-INT-008,Single obstacle sensor (B) trigger → reversal initiated,Critical,3,PENDING,
REQ-INT-003,TC-OSTS-INT-009,ISR latency ≤ 1 ms from obstacle GPIO rising edge,Critical,3,PENDING,
REQ-INT-003,TC-OSTS-INT-010,Both obstacle sensors tested at startup; fault if both read 0,High,3,PENDING,
REQ-INT-004,TC-OSTS-INT-011,Lock command/release verified by lock sensors,Critical,3,PENDING,
REQ-INT-004,TC-OSTS-INT-012,Fail-closed: lock springs lock door on solenoid power-off,Critical,3,PENDING,
REQ-INT-005,TC-OSTS-INT-013,Lock sensor disagreement treated conservatively (not-locked),Critical,3,PENDING,
REQ-INT-005,TC-OSTS-INT-014,Lock sensor fault detected and logged,Critical,3,PENDING,
REQ-INT-006,TC-OSTS-INT-015,Watchdog refreshed every 40 ms ± 5 ms via HAL,Critical,3,PENDING,
REQ-INT-006,TC-OSTS-INT-016,Deliberate missed watchdog refresh → hardware reset within 55 ms,Critical,3,PENDING,
REQ-INT-007,TC-OSTS-BOUND-005,Speed range (CAN),max+1 (invalid),2001,PENDING,
REQ-INT-007,TC-OSTS-BOUND-007,Speed delta plausibility,max+1 (invalid),501,PENDING,
REQ-INT-007,TC-OSTS-INT-017,Speed CAN message (0x100) parsed correctly with valid CRC,Critical,3,PENDING,
REQ-INT-007,TC-OSTS-INT-018,"CRC mismatch on 0x100 → message discarded, CRC error logged",Critical,3,PENDING,
REQ-INT-007,TC-OSTS-INT-019,Sequence counter discontinuity on 0x100 detected and logged,High,3,PENDING,
REQ-INT-007,TC-OSTS-INT-020,CAN timeout (> 200 ms no message) → speed fault raised,Critical,3,PENDING,
REQ-INT-008,TC-OSTS-INT-021,CAN 0x200 (door-locked-all) transmitted at 100 ms rate; CRC-16 valid,High,3,PENDING,
REQ-INT-008,TC-OSTS-INT-022,CAN 0x201 (per-door status) transmitted at 100 ms rate; content correct,High,2,PENDING,
REQ-INT-009,TC-OSTS-INT-023,DDU messages exchanged every 20 ms; CRC validated,High,3,PENDING,
REQ-INT-009,TC-OSTS-INT-024,DDU timeout (> 40 ms no response) → DDU communication fault,High,3,PENDING,
REQ-INT-010,TC-OSTS-INT-025,Cross-channel SPI state exchange every 20 ms cycle,Critical,3,PENDING,
REQ-INT-010,TC-OSTS-INT-026,SPI CRC mismatch → safe state triggered,Critical,3,PENDING,
REQ-INT-010,TC-OSTS-INT-027,Deliberate speed disagreement between channels → safe state within 20 ms,Critical,3,PENDING,
REQ-INT-011,TC-OSTS-INT-028,Emergency release detected within 20 ms; TCMS alert within 200 ms,High,2,PENDING,
REQ-INT-012,TC-OSTS-INT-029,Status indicators match door state within one 20 ms cycle,Medium,2,PENDING,
REQ-INT-013,TC-OSTS-INT-030,Event log downloadable via diagnostics port in Normal mode,Low,1,PENDING,
REQ-INT-013,TC-OSTS-INT-031,No safety parameter modification possible via diagnostics port in Normal mode,Medium,1,PENDING,
REQ-OPR-001,TC-OSTS-OPR-001,Static analysis: zero mandatory MISRA C:2012 violations,High,3,PENDING,
REQ-OPR-001,TC-OSTS-OPR-002,All required MISRA rule violations documented; deviation log reviewed by QUA,High,3,PENDING,
REQ-OPR-002,TC-OSTS-OPR-003,Static analysis: zero use of `int`/`unsigned`/`long` in safety modules,High,3,PENDING,
REQ-OPR-003,TC-OSTS-OPR-004,Static analysis: zero calls to `malloc`/`calloc`/`realloc`/`free`/`alloca`,Critical,3,PENDING,
REQ-OPR-003,TC-OSTS-OPR-005,Linker map confirms zero heap usage,Critical,3,PENDING,
REQ-OPR-004,TC-OSTS-OPR-006,Static call graph: zero recursive paths in SIL 3 modules,High,3,PENDING,
REQ-OPR-005,TC-OSTS-OPR-007,Static analysis: zero functions exceeding cyclomatic complexity limit (≤10 for S...,High,3,PENDING,
REQ-OPR-006,TC-OSTS-OPR-008,"Code review: NULL checks, range checks, return value checks in all SIL 3 functio...",High,3,PENDING,
REQ-OPR-007,TC-OSTS-OPR-009,Static analysis: all non-void SIL 3 functions return `error_t`,High,3,PENDING,
REQ-OPR-008,TC-OSTS-OPR-010,Scheduler task execution order documented and verified by performance test,High,3,PENDING,
REQ-OPR-008,TC-OSTS-OPR-011,WCET of each task measured; total cycle ≤ 16 ms verified,Critical,3,PENDING,
REQ-REL-001,TC-OSTS-REL-001,System availability >= 99.9% over simulated 30-day period,High,3,PENDING,
REQ-REL-001,TC-OSTS-REL-002,Diagnostic operations do not interrupt normal door control cycle,High,3,PENDING,
REQ-REL-002,TC-OSTS-REL-003,EN 50128 SIL 3 lifecycle compliance demonstrated (safety case),Critical,3,PENDING,
REQ-REL-003,TC-OSTS-REL-004,DC >= 99% calculation documented and reviewed by VER/SAF,High,3,PENDING,
REQ-REL-004,TC-OSTS-REL-005,Diagnostics task time budget ≤ 2 ms per 20 ms cycle (no overrun),Medium,2,PENDING,
REQ-SAFE-001,TC-OSTS-SAFE-001,Speed interlock: all door open commands inhibited when speed > 5 km/h (Channel A...,Critical,3,PENDING,
REQ-SAFE-001,TC-OSTS-SAFE-002,Speed interlock: all door open commands inhibited when speed > 5 km/h (Channel B...,Critical,3,PENDING,
REQ-SAFE-001,TC-OSTS-SAFE-003,Speed interlock: inhibit active when speed data absent (stale > 200 ms),Critical,3,PENDING,
REQ-SAFE-001,TC-OSTS-SAFE-004,Speed interlock: inhibit active when speed data CRC error,Critical,3,PENDING,
REQ-SAFE-001,TC-OSTS-SAFE-005,Speed interlock: both channels evaluate independently (2oo2 cross-check),Critical,3,PENDING,
REQ-SAFE-002,TC-OSTS-SAFE-006,Doors commanded locked within one 20 ms cycle when speed > 5 km/h,Critical,3,PENDING,
REQ-SAFE-002,TC-OSTS-SAFE-007,Doors maintained locked while speed > 5 km/h,Critical,3,PENDING,
REQ-SAFE-002,TC-OSTS-SAFE-008,Fail-safe: doors commanded locked on missing/stale speed signal,Critical,3,PENDING,
REQ-SAFE-003,TC-OSTS-SAFE-009,Departure signal withheld when any door not CLOSED_AND_LOCKED,Critical,3,PENDING,
REQ-SAFE-003,TC-OSTS-SAFE-010,Departure signal withheld with N-1 doors locked (one door open),Critical,3,PENDING,
REQ-SAFE-003,TC-OSTS-SAFE-011,Departure signal asserted ONLY when all doors confirmed locked,Critical,3,PENDING,
REQ-SAFE-004,TC-OSTS-SAFE-012,Obstacle detection → motor stop and reversal within 150 ms (obstacle sensor A),Critical,3,PENDING,
REQ-SAFE-004,TC-OSTS-SAFE-013,Obstacle detection → motor stop and reversal within 150 ms (obstacle sensor B),Critical,3,PENDING,
REQ-SAFE-004,TC-OSTS-SAFE-014,Door reversal continues until FULLY_OPEN position reached,Critical,3,PENDING,
REQ-SAFE-004,TC-OSTS-SAFE-015,ISR latency ≤ 1 ms from obstacle GPIO rising edge to interrupt handler,Critical,3,PENDING,
REQ-SAFE-005,TC-OSTS-SAFE-016,2oo2 position: CLOSED only when both sensors agree,Critical,3,PENDING,
REQ-SAFE-005,TC-OSTS-SAFE-017,All 4 sensor combinations produce correct conservative outcome,Critical,3,PENDING,
REQ-SAFE-005,TC-OSTS-SAFE-018,Sensor disagreement logged; fault raised on disagreement,Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-019,Safe state triggered within 100 ms on speed sensor failure,Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-020,Safe state triggered within 100 ms on position sensor failure,Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-021,Safe state triggered within 100 ms on lock sensor failure,Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-022,Safe state triggered within 100 ms on cross-channel disagreement,Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-023,Safe state triggered within 100 ms on CAN speed timeout > 200 ms,Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-024,Safe state triggered within 100 ms on MCU failure (cross-channel detected),Critical,3,PENDING,
REQ-SAFE-006,TC-OSTS-SAFE-025,TCMS alerted within 100 ms of safe state entry,Critical,3,PENDING,
REQ-SAFE-007,TC-OSTS-SAFE-026,Lock sensors report locked after controlled power removal,Critical,3,PENDING,
REQ-SAFE-007,TC-OSTS-SAFE-027,No software logic defaults locks open (HAL active-low verified),Critical,3,PENDING,
REQ-SAFE-008,TC-OSTS-SAFE-028,Watchdog refreshed every 40 ms ± 5 ms during normal operation,Critical,3,PENDING,
REQ-SAFE-008,TC-OSTS-SAFE-029,Deliberate watchdog starvation (loop hang) → hardware reset within 55 ms,Critical,3,PENDING,
REQ-SAFE-008,TC-OSTS-SAFE-030,Watchdog refresh not callable before safety logic completion,Critical,3,PENDING,
REQ-SAFE-009,TC-OSTS-SAFE-031,CRC-16 verified on CAN speed message (receive) — valid CRC passes,Critical,3,PENDING,
REQ-SAFE-009,TC-OSTS-SAFE-032,"CRC-16 error on CAN speed message → message discarded, fault logged",Critical,3,PENDING,
REQ-SAFE-009,TC-OSTS-SAFE-033,CRC-16 verified on cross-channel SPI frame,Critical,3,PENDING,
REQ-SAFE-009,TC-OSTS-SAFE-034,CRC-16 verified on boot-time flash integrity (valid CRC → boot proceeds),Critical,3,PENDING,
REQ-SAFE-009,TC-OSTS-SAFE-035,CRC-16 corruption on event log entry → fault detected,Critical,3,PENDING,
REQ-SAFE-010,TC-OSTS-SAFE-036,Channel A and Channel B independently compute same speed interlock decision,Critical,3,PENDING,
REQ-SAFE-010,TC-OSTS-SAFE-037,Deliberate disagreement injection → safe state within 20 ms,Critical,3,PENDING,
REQ-SAFE-010,TC-OSTS-SAFE-038,All listed safety decisions compared every 20 ms cycle,Critical,3,PENDING,
REQ-SAFE-011,TC-OSTS-SAFE-039,Out-of-range speed input rejected and logged,Critical,3,PENDING,
REQ-SAFE-011,TC-OSTS-SAFE-040,Speed delta > 50 km/h per 100 ms triggers plausibility violation,Critical,3,PENDING,
REQ-SAFE-011,TC-OSTS-SAFE-041,Out-of-range sensor input rejected and logged,Critical,3,PENDING,
REQ-SAFE-012,TC-OSTS-SAFE-042,Emergency release detected within 20 ms,High,2,PENDING,
REQ-SAFE-012,TC-OSTS-SAFE-043,TCMS alert within 200 ms of emergency release detection,High,2,PENDING,
REQ-SAFE-012,TC-OSTS-SAFE-044,FAULT_EMERG_RELEASE_WHILE_MOVING raised when speed > 5 km/h,High,2,PENDING,
REQ-SAFE-013,TC-OSTS-SAFE-045,System refuses Normal mode entry on self-test failure,High,3,PENDING,
REQ-SAFE-013,TC-OSTS-SAFE-046,All sensor types exercised in startup self-test,High,3,PENDING,
REQ-SAFE-013,TC-OSTS-SAFE-047,Specific fault code reported per failed sensor on self-test,High,3,PENDING,
REQ-SAFE-014,TC-OSTS-SAFE-048,DC >= 99% calculation verified by analysis (FMEA-based),High,3,PENDING,
REQ-SAFE-015,TC-OSTS-SAFE-049,Doors remain locked when CAN disconnected (speed assumed),Critical,3,PENDING,
REQ-SAFE-015,TC-OSTS-SAFE-050,Doors locked within 200 ms of CAN speed signal loss,Critical,3,PENDING,
REQ-SAFE-015,TC-OSTS-SAFE-051,No door opening when speed data invalid (CRC error),Critical,3,PENDING,
REQ-SAFE-016,TC-OSTS-SAFE-052,Position sensor fault → door assumed not closed → departure withheld,Critical,3,PENDING,
REQ-SAFE-016,TC-OSTS-SAFE-053,Stuck sensor fault → door assumed not closed,Critical,3,PENDING,
REQ-SAFE-017,TC-OSTS-SAFE-054,All safety variables initialized to fail-safe defaults at system startup,Critical,3,PENDING,
REQ-SAFE-017,TC-OSTS-SAFE-055,speed_interlock_active = 1 at init; door_lock_command = 1 at init,Critical,3,PENDING,
REQ-SAFE-018,TC-OSTS-SAFE-056,Speed interlock active for all doors (including disabled) in SELECTIVE_DISABLE,High,2,PENDING,
REQ-SAFE-018,TC-OSTS-SAFE-057,Departure inhibited if disabled door on platform side and not confirmed locked,High,2,PENDING,
REQ-SAFE-019,TC-OSTS-SAFE-058,RAM CRC corruption detected within 100 ms; safe state triggered,High,3,PENDING,
REQ-SAFE-019,TC-OSTS-SAFE-059,FAULT_RAM_CRC_FAIL raised and logged on corruption,High,3,PENDING,
REQ-SAFE-020,TC-OSTS-SAFE-060,Flash CRC fail at boot → Normal mode NOT entered; boot fault code output,High,3,PENDING,
REQ-SAFE-020,TC-OSTS-SAFE-061,Flash CRC pass at boot → Normal mode entered normally,High,3,PENDING,
REQ-SAFE-021,TC-OSTS-SAFE-062,Zero `goto` occurrences in SIL 3 safety functions (static analysis),High,3,PENDING,
REQ-SAFE-021,TC-OSTS-SAFE-063,MISRA C Rule 15.1 compliance verified,High,3,PENDING,
REQ-SEC-001,TC-OSTS-SEC-001,Unauthorized mode change (no auth token) → rejected; attempt logged,High,2,PENDING,
REQ-SEC-001,TC-OSTS-SEC-002,Authorized mode change (valid driver key) → accepted; logged,High,2,PENDING,
REQ-SEC-002,TC-OSTS-SEC-003,"All mode change events logged with required fields (timestamp, mode, source, res...",Medium,2,PENDING,
REQ-SEC-003,TC-OSTS-SEC-004,Write command on diagnostics port in Normal mode → `CMD_NOT_PERMITTED`,Medium,2,PENDING,
REQ-SEC-003,TC-OSTS-SEC-005,Read command on diagnostics port in Normal mode → succeeds,Medium,2,PENDING,
REQ-SEC-003,TC-OSTS-SEC-006,Configuration write in Diagnostic mode with maintenance auth → permitted,Medium,2,PENDING,
