source_id,target_id,rationale,verification_method,status
TC-INT-017,COMP-004,Tests all-doors CLOSED_AND_LOCKED departure interlock logic via IF-008,Integration test with 2oo2 sensor voting,verified
TC-INT-017,COMP-001,Tests SKN departure interlock evaluation and TCI reporting via IF-016,Integration test verifying departure_ready flag,verified
TC-INT-017,COMP-006,Tests TCI CAN TX departure interlock frame to TCMS,Integration test with CAN analyser verification,verified
TC-INT-018,COMP-005,Tests FMG to TCI fault report via IF-013,Integration test with fault injection and CAN capture,verified
TC-INT-018,COMP-006,Tests TCI CAN TX fault report frame to TCMS,Integration test with CAN analyser verification,verified
TC-INT-019,COMP-005,Tests FMG to DGN fault log entry via IF-014,Integration test verifying event log write,verified
TC-INT-019,COMP-007,Tests DGN event log write on fault report,Integration test with SPI Flash read-back,verified
TC-INT-020,COMP-006,Tests TCI to DSM door command delivery via IF-018,Integration test with CAN command injection,verified
TC-INT-020,COMP-004,Tests DSM processing of TCMS door command,Integration test verifying FSM command acceptance,verified
TC-INT-021,COMP-001,Tests cross-channel SPI normal exchange via IF-017 (Channel A ↔ B),Integration test with dual DCU boards and SPI analyser,verified
TC-INT-022,COMP-001,Tests cross-channel safety-data disagreement detection and immediate safe state,Integration test with injected data mismatch,verified
TC-INT-023,COMP-001,Tests SPI infrastructure fault with 3-cycle transient filter,Integration test with SPI CRC error injection,verified
TC-INT-024,COMP-001,Tests SPI timeout detection and 3-cycle filter triggering safe state,Integration test with SPI link disconnection,verified
TC-INT-025,COMP-008,Tests HAL watchdog status monitoring and reporting via IF-019,Integration test with watchdog refresh withheld,verified
TC-INT-025,COMP-001,Tests SKN reception of watchdog warning from HAL,Integration test verifying safe state escalation path,verified
TC-INT-PERF-001,COMP-001,Tests full scheduler cycle WCET ≤ 16 ms (20 ms budget with margin),Performance test on target hardware with DWT cycle counter,verified
TC-INT-PERF-001,COMP-002,Verifies SPM execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-001,COMP-003,Verifies OBD execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-001,COMP-004,Verifies DSM execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-001,COMP-005,Verifies FMG execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-001,COMP-006,Verifies TCI execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-001,COMP-007,Verifies DGN execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-001,COMP-008,Verifies HAL execution within cycle budget,Performance test on target hardware,verified
TC-INT-PERF-002,COMP-006,Tests speed interlock response latency CAN RX to DSM gate ≤ 100 ms,Performance test with timestamped CAN injection,verified
TC-INT-PERF-002,COMP-002,Verifies SPM processing latency contribution,Performance test with DWT timestamps,verified
TC-INT-PERF-002,COMP-004,Verifies DSM gate reception latency,Performance test with DWT timestamps,verified
TC-INT-PERF-003,COMP-003,Tests obstacle reversal latency sensor to motor reversal ≤ 150 ms,Performance test with obstacle pulse and PWM capture,verified
TC-INT-PERF-003,COMP-004,Verifies DSM reversal command latency,Performance test with DWT timestamps,verified
TC-INT-PERF-003,COMP-008,Verifies HAL motor PWM output latency,Performance test with oscilloscope measurement,verified
TC-INT-PERF-004,COMP-004,Tests TCMS departure interlock reporting latency ≤ 100 ms,Performance test with sensor change to CAN TX timestamp,verified
TC-INT-PERF-004,COMP-001,Verifies SKN departure interlock evaluation latency,Performance test with DWT timestamps,verified
TC-INT-PERF-004,COMP-006,Verifies TCI CAN TX latency,Performance test with CAN analyser timestamps,verified
TC-INT-ERR-001,COMP-008,Tests HAL NULL pointer handling for sensor API,Error guessing test with NULL pointer injection,verified
TC-INT-ERR-001,COMP-004,Tests DSM resilience to HAL sensor API NULL return,Error guessing test verifying safe state escalation,verified
TC-INT-ERR-002,COMP-001,Tests CRC-16 computation consistency across all safety structures,Error guessing test with cross-component CRC validation,verified
TC-INT-ERR-002,COMP-002,Verifies SPM CRC-16 consistency,Error guessing test,verified
TC-INT-ERR-002,COMP-004,Verifies DSM CRC-16 consistency,Error guessing test,verified
TC-INT-ERR-002,COMP-006,Verifies TCI CRC-16 consistency,Error guessing test,verified
TC-INT-ERR-003,COMP-004,Tests door index bounds check (0 ≤ door_idx < 8) across all components,Error guessing test with out-of-bounds index injection,verified
TC-INT-ERR-003,COMP-003,Verifies OBD bounds checking,Error guessing test,verified
TC-INT-ERR-003,COMP-008,Verifies HAL bounds checking,Error guessing test,verified
TC-INT-ERR-004,COMP-005,Tests FMG initialization fault counter state at startup,Error guessing test verifying zero-initialized fault state,verified
